2x2b night
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,6.777652e+04,6.777666e+04
1,6.777652e+04,6.777681e+04
2,6.777652e+04,6.777691e+04
3,6.777652e+04,6.777693e+04
4,6.777652e+04,6.777689e+04
5,6.777652e+04,6.777692e+04
6,6.777652e+04,6.777689e+04
7,6.777652e+04,6.777681e+04
8,6.777652e+04,6.777673e+04
9,6.777652e+04,6.777667e+04
10,6.777652e+04,6.777668e+04
11,6.777652e+04,6.777664e+04
12,6.777652e+04,6.777661e+04
13,6.777652e+04,6.777660e+04
14,6.777652e+04,6.777664e+04
15,6.777652e+04,6.777664e+04
16,6.777652e+04,6.777661e+04
17,6.777652e+04,6.777669e+04
18,6.777652e+04,6.777676e+04
19,6.777652e+04,6.777682e+04
20,6.777652e+04,6.777688e+04
21,6.777652e+04,6.777689e+04
22,6.777652e+04,6.777685e+04
23,6.777652e+04,6.777678e+04
24,6.777652e+04,6.777670e+04
25,6.777652e+04,6.777670e+04
26,6.777652e+04,6.777667e+04
27,6.777652e+04,6.777662e+04
28,6.777652e+04,6.777664e+04
29,6.777652e+04,6.777668e+04
30,6.777652e+04,6.777673e+04
31,6.777652e+04,6.777676e+04
32,6.777652e+04,6.777683e+04
33,6.777652e+04,6.777679e+04
34,6.777652e+04,6.777673e+04
35,6.777652e+04,6.777673e+04
36,6.777652e+04,6.777674e+04
37,6.777652e+04,6.777675e+04
38,6.777652e+04,6.777672e+04
39,6.777652e+04,6.777675e+04
40,6.777652e+04,6.777684e+04
41,6.777652e+04,6.777693e+04
42,6.777652e+04,6.777693e+04
43,6.777652e+04,6.777696e+04
44,6.777652e+04,6.777692e+04
45,6.777652e+04,6.777694e+04
46,6.777652e+04,6.777695e+04
47,6.777652e+04,6.777687e+04
48,6.777652e+04,6.777697e+04
49,6.777652e+04,6.777706e+04
50,6.777652e+04,6.777705e+04
51,6.777652e+04,6.777698e+04
52,6.777652e+04,6.777694e+04
53,6.777652e+04,6.777683e+04
54,6.777652e+04,6.777677e+04
55,6.777652e+04,6.777680e+04
56,6.777652e+04,6.777685e+04
57,6.777652e+04,6.777703e+04
58,6.777652e+04,6.777711e+04
59,6.777652e+04,6.777715e+04
60,6.777652e+04,6.777716e+04
61,6.777652e+04,6.777711e+04
62,6.777652e+04,6.777711e+04
63,6.777652e+04,6.777713e+04
64,6.777652e+04,6.777710e+04
65,6.777652e+04,6.777701e+04
66,6.777652e+04,6.777695e+04
67,6.777652e+04,6.777694e+04
68,6.777652e+04,6.777693e+04
69,6.777652e+04,6.777696e+04
70,6.777652e+04,6.777698e+04
71,6.777652e+04,6.777702e+04
72,6.777652e+04,6.777707e+04
73,6.777652e+04,6.777707e+04
74,6.777652e+04,6.777720e+04
75,6.777652e+04,6.777727e+04
76,6.777652e+04,6.777722e+04
77,6.777652e+04,6.777707e+04
78,6.777652e+04,6.777701e+04
79,6.777652e+04,6.777712e+04
80,6.777652e+04,6.777707e+04
81,6.777652e+04,6.777698e+04
82,6.777652e+04,6.777696e+04
83,6.777652e+04,6.777702e+04
84,6.777652e+04,6.777711e+04
85,6.777652e+04,6.777709e+04
86,6.777652e+04,6.777705e+04
87,6.777652e+04,6.777724e+04
88,6.777652e+04,6.777735e+04
89,6.777652e+04,6.777745e+04
90,6.777652e+04,6.777747e+04
91,6.777652e+04,6.777737e+04
92,6.777652e+04,6.777728e+04
93,6.777652e+04,6.777722e+04
94,6.777652e+04,6.777730e+04
95,6.777652e+04,6.777722e+04
96,6.777652e+04,6.777713e+04
97,6.777652e+04,6.777726e+04
98,6.777652e+04,6.777742e+04
99,6.777652e+04,6.777751e+04
100,6.777652e+04,6.777764e+04
101,6.777652e+04,6.777772e+04
102,6.777652e+04,6.777771e+04
103,6.777652e+04,6.777770e+04
104,6.777652e+04,6.777760e+04
105,6.777652e+04,6.777755e+04
106,6.777652e+04,6.777740e+04
107,6.777652e+04,6.777744e+04
108,6.777652e+04,6.777749e+04
109,6.777652e+04,6.777751e+04
110,6.777652e+04,6.777764e+04
111,6.777652e+04,6.777793e+04
112,6.777652e+04,6.777812e+04
113,6.777652e+04,6.777827e+04
114,6.777652e+04,6.777843e+04
115,6.777652e+04,6.777880e+04
116,6.777652e+04,6.777961e+04
117,6.777652e+04,6.778914e+04
118,6.777652e+04,6.780691e+04
119,6.777652e+04,6.781867e+04
120,6.777652e+04,6.786108e+04
121,6.777652e+04,6.794215e+04
122,6.777652e+04,6.805861e+04
123,6.777652e+04,6.812713e+04
124,6.777652e+04,6.821282e+04
125,6.777652e+04,6.852490e+04
126,6.777652e+04,6.855376e+04
127,6.777652e+04,6.861379e+04
128,6.777652e+04,6.920828e+04
129,6.777652e+04,6.949717e+04
130,6.777652e+04,6.959475e+04
131,6.777652e+04,6.951411e+04
132,6.777652e+04,6.900712e+04
133,6.777652e+04,6.966014e+04
134,6.777652e+04,7.054208e+04
135,6.777652e+04,7.060177e+04
136,6.777652e+04,7.110533e+04
137,6.777652e+04,7.035998e+04
138,6.777652e+04,7.063649e+04
139,6.777652e+04,7.129518e+04
140,6.777652e+04,7.151468e+04
141,6.777652e+04,7.081684e+04
142,6.777652e+04,7.047299e+04
143,6.777652e+04,7.016069e+04
144,6.777652e+04,6.930357e+04
145,6.777652e+04,6.925737e+04
146,6.777652e+04,7.025026e+04
147,6.777652e+04,7.007572e+04
148,6.777652e+04,6.962239e+04
149,6.777652e+04,7.014809e+04
150,6.777652e+04,7.155815e+04
151,6.777652e+04,7.078575e+04
152,6.777652e+04,7.006561e+04
153,6.777652e+04,7.086402e+04
154,6.777652e+04,7.032776e+04
155,6.777652e+04,6.950253e+04
156,6.777652e+04,6.936629e+04
157,6.777652e+04,6.851335e+04
158,6.777652e+04,6.877561e+04
159,6.777652e+04,6.882912e+04
160,6.777652e+04,6.811559e+04
161,6.777652e+04,6.868055e+04
162,6.777652e+04,6.940738e+04
163,6.777652e+04,6.911462e+04
164,6.777652e+04,6.962070e+04
165,6.777652e+04,6.919889e+04
166,6.777652e+04,6.919604e+04
167,6.777652e+04,6.961545e+04
168,6.777652e+04,6.909413e+04
169,6.777652e+04,6.956341e+04
170,6.777652e+04,6.897578e+04
171,6.777652e+04,6.933509e+04
172,6.777652e+04,6.908795e+04
173,6.777652e+04,6.933965e+04
174,6.777652e+04,6.905541e+04
175,6.777652e+04,6.902473e+04
176,6.777652e+04,6.890857e+04
177,6.777652e+04,6.928403e+04
178,6.777652e+04,6.900706e+04
179,6.777652e+04,6.902548e+04
180,6.777652e+04,6.892172e+04
181,6.777652e+04,6.916643e+04
182,6.777652e+04,6.931603e+04
183,6.777652e+04,6.928781e+04
184,6.777652e+04,6.932540e+04
185,6.777652e+04,6.941521e+04
186,6.777652e+04,6.918227e+04
187,6.777652e+04,6.933305e+04
188,6.777652e+04,6.959985e+04
189,6.777652e+04,6.982381e+04
190,6.777652e+04,7.165627e+04
191,6.777652e+04,7.395104e+04
192,6.777652e+04,7.500855e+04
193,6.777652e+04,7.491578e+04
194,6.777652e+04,7.371463e+04
195,6.777652e+04,7.449058e+04
196,6.777652e+04,7.560810e+04
197,6.777652e+04,7.530818e+04
198,6.777652e+04,7.442554e+04
199,6.777652e+04,7.330256e+04
200,6.777652e+04,7.282927e+04
201,6.777652e+04,7.024607e+04
202,6.777652e+04,6.936522e+04
203,6.777652e+04,7.170672e+04
204,6.777652e+04,7.225587e+04
205,6.777652e+04,7.259684e+04
206,6.777652e+04,7.340390e+04
207,6.777652e+04,7.297374e+04
208,6.777652e+04,7.339199e+04
209,6.777652e+04,7.422701e+04
210,6.777652e+04,7.412643e+04
211,6.777652e+04,7.493716e+04
212,6.777652e+04,7.539410e+04
213,6.777652e+04,7.493480e+04
214,6.777652e+04,7.450877e+04
215,6.777652e+04,7.293516e+04
216,6.777652e+04,7.256538e+04
217,6.777652e+04,7.391611e+04
218,6.777652e+04,7.473033e+04
219,6.777652e+04,7.497985e+04
220,6.777652e+04,7.497293e+04
221,6.777652e+04,7.440192e+04
222,6.777652e+04,7.407878e+04
223,6.777652e+04,7.462356e+04
224,6.777652e+04,7.426667e+04
225,6.777652e+04,7.319270e+04
226,6.777652e+04,7.408641e+04
227,6.777652e+04,7.395213e+04
228,6.777652e+04,7.424746e+04
229,6.777652e+04,7.361029e+04
230,6.777652e+04,7.285319e+04
231,6.777652e+04,7.447463e+04
232,6.777652e+04,7.489489e+04
233,6.777652e+04,7.505689e+04
234,6.777652e+04,7.497755e+04
235,6.777652e+04,7.451111e+04
236,6.777652e+04,7.291657e+04
237,6.777652e+04,7.058650e+04
238,6.777652e+04,7.251164e+04
239,6.777652e+04,7.333372e+04
240,6.777652e+04,7.162964e+04
241,6.777652e+04,7.002710e+04
242,6.777652e+04,7.224999e+04
243,6.777652e+04,7.273776e+04
244,6.777652e+04,7.370023e+04
245,6.777652e+04,7.430988e+04
246,6.777652e+04,7.396957e+04
247,6.777652e+04,7.410652e+04
248,6.777652e+04,7.378151e+04
249,6.777652e+04,7.243234e+04
250,6.777652e+04,7.136448e+04
251,6.777652e+04,6.922053e+04
252,6.777652e+04,6.880851e+04
253,6.777652e+04,7.042574e+04
254,6.777652e+04,7.132677e+04
255,6.777652e+04,7.124484e+04
256,6.777652e+04,6.991807e+04
257,6.777652e+04,6.987268e+04
258,6.777652e+04,7.057173e+04
259,6.777652e+04,7.043080e+04
260,6.777652e+04,7.001302e+04
261,6.777652e+04,6.955417e+04
262,6.777652e+04,6.905743e+04
263,6.777652e+04,6.861399e+04
264,6.777652e+04,6.836555e+04
265,6.777652e+04,6.817344e+04
266,6.777652e+04,6.806670e+04
267,6.777652e+04,6.803130e+04
268,6.777652e+04,6.794329e+04
269,6.777652e+04,6.786769e+04
270,6.777652e+04,6.785767e+04
271,6.777652e+04,6.784368e+04
272,6.777652e+04,6.783124e+04
273,6.777652e+04,6.780577e+04
274,6.777652e+04,6.778467e+04
275,6.777652e+04,6.778226e+04
276,6.777652e+04,6.778413e+04
277,6.777652e+04,6.778144e+04
278,6.777652e+04,6.777835e+04
279,6.777652e+04,6.777691e+04
280,6.777652e+04,6.777675e+04
281,6.777652e+04,6.777681e+04
282,6.777652e+04,6.777689e+04
283,6.777652e+04,6.777697e+04
284,6.777652e+04,6.777700e+04
285,6.777652e+04,6.777698e+04
286,6.777652e+04,6.777691e+04
287,6.777652e+04,6.777682e+04
288,6.777652e+04,6.777674e+04
289,6.777652e+04,6.777669e+04
290,6.777652e+04,6.777670e+04
291,6.777652e+04,6.777675e+04
292,6.777652e+04,6.777681e+04
293,6.777652e+04,6.777681e+04
294,6.777652e+04,6.777683e+04
295,6.777652e+04,6.777689e+04
296,6.777652e+04,6.777689e+04
297,6.777652e+04,6.777685e+04
298,6.777652e+04,6.777679e+04
299,6.777652e+04,6.777673e+04
300,6.777652e+04,6.777671e+04
301,6.777652e+04,6.777676e+04
302,6.777652e+04,6.777686e+04
303,6.777652e+04,6.777694e+04
304,6.777652e+04,6.777697e+04
305,6.777652e+04,6.777693e+04
306,6.777652e+04,6.777688e+04
307,6.777652e+04,6.777689e+04
308,6.777652e+04,6.777686e+04
309,6.777652e+04,6.777679e+04
310,6.777652e+04,6.777677e+04
311,6.777652e+04,6.777684e+04
312,6.777652e+04,6.777693e+04
313,6.777652e+04,6.777699e+04
314,6.777652e+04,6.777701e+04
315,6.777652e+04,6.777695e+04
316,6.777652e+04,6.777687e+04
317,6.777652e+04,6.777686e+04
318,6.777652e+04,6.777686e+04
319,6.777652e+04,6.777680e+04
320,6.777652e+04,6.777673e+04
321,6.777652e+04,6.777675e+04
322,6.777652e+04,6.777686e+04
323,6.777652e+04,6.777691e+04
324,6.777652e+04,6.777699e+04
325,6.777652e+04,6.777712e+04
326,6.777652e+04,6.777713e+04
327,6.777652e+04,6.777707e+04
328,6.777652e+04,6.777692e+04
329,6.777652e+04,6.777676e+04
330,6.777652e+04,6.777680e+04
331,6.777652e+04,6.777698e+04
332,6.777652e+04,6.777716e+04
333,6.777652e+04,6.777735e+04
334,6.777652e+04,6.777745e+04
335,6.777652e+04,6.777744e+04
336,6.777652e+04,6.777736e+04
337,6.777652e+04,6.777734e+04
338,6.777652e+04,6.777729e+04
339,6.777652e+04,6.777730e+04
340,6.777652e+04,6.777729e+04
341,6.777652e+04,6.777735e+04
342,6.777652e+04,6.777742e+04
343,6.777652e+04,6.777736e+04
344,6.777652e+04,6.777724e+04
345,6.777652e+04,6.777712e+04
346,6.777652e+04,6.777711e+04
347,6.777652e+04,6.777707e+04
348,6.777652e+04,6.777698e+04
349,6.777652e+04,6.777697e+04
350,6.777652e+04,6.777697e+04
351,6.777652e+04,6.777711e+04
352,6.777652e+04,6.777724e+04
353,6.777652e+04,6.777730e+04
354,6.777652e+04,6.777734e+04
355,6.777652e+04,6.777728e+04
356,6.777652e+04,6.777718e+04
357,6.777652e+04,6.777703e+04
358,6.777652e+04,6.777693e+04
359,6.777652e+04,6.777710e+04
360,6.777652e+04,6.777721e+04
361,6.777652e+04,6.777736e+04
362,6.777652e+04,6.777737e+04
363,6.777652e+04,6.777727e+04
364,6.777652e+04,6.777721e+04
365,6.777652e+04,6.777727e+04
366,6.777652e+04,6.777733e+04
367,6.777652e+04,6.777736e+04
368,6.777652e+04,6.777740e+04
369,6.777652e+04,6.777736e+04
370,6.777652e+04,6.777726e+04
371,6.777652e+04,6.777725e+04
372,6.777652e+04,6.777724e+04
373,6.777652e+04,6.777715e+04
374,6.777652e+04,6.777715e+04
375,6.777652e+04,6.777708e+04
376,6.777652e+04,6.777706e+04
377,6.777652e+04,6.777699e+04
378,6.777652e+04,6.777700e+04
379,6.777652e+04,6.777710e+04
380,6.777652e+04,6.777725e+04
381,6.777652e+04,6.777728e+04
382,6.777652e+04,6.777721e+04
383,6.777652e+04,6.777713e+04
