4x2b day
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,1.973811e+03,1.434755e+05
1,1.973811e+03,1.437926e+05
2,1.973811e+03,1.204727e+05
3,1.973811e+03,1.549059e+05
4,1.973811e+03,1.702810e+05
5,1.973811e+03,1.747032e+05
6,1.973811e+03,1.582224e+05
7,1.973811e+03,1.839078e+05
8,1.973811e+03,1.692548e+05
9,1.973811e+03,1.692070e+05
10,1.973811e+03,1.809389e+05
11,1.973811e+03,1.450207e+05
12,1.973811e+03,1.977285e+05
13,1.973811e+03,1.932137e+05
14,1.973811e+03,1.956206e+05
15,1.973811e+03,2.121086e+05
16,1.973811e+03,1.871303e+05
17,1.973811e+03,2.075202e+05
18,1.973811e+03,1.674316e+05
19,1.973811e+03,1.670970e+05
20,1.973811e+03,2.167243e+05
21,1.973811e+03,1.975807e+05
22,1.973811e+03,2.148349e+05
23,1.973811e+03,1.819519e+05
24,1.973811e+03,2.278533e+05
25,1.973811e+03,2.282445e+05
26,1.973811e+03,2.099988e+05
27,1.973811e+03,2.390200e+05
28,1.973811e+03,2.248279e+05
29,1.973811e+03,2.440205e+05
30,1.973811e+03,2.141742e+05
31,1.973811e+03,2.053420e+05
32,1.973811e+03,2.403096e+05
33,1.973811e+03,2.397592e+05
34,1.973811e+03,2.451142e+05
35,1.973811e+03,2.453946e+05
36,1.973811e+03,2.680263e+05
37,1.973811e+03,2.706053e+05
38,1.973811e+03,2.643128e+05
39,1.973811e+03,2.486590e+05
40,1.973811e+03,2.173090e+05
41,1.973811e+03,2.120259e+05
42,1.973811e+03,2.374057e+05
43,1.973811e+03,2.581761e+05
44,1.973811e+03,2.354484e+05
45,1.973811e+03,2.443587e+05
46,1.973811e+03,2.501044e+05
47,1.973811e+03,2.618403e+05
48,1.973811e+03,2.018249e+05
49,1.973811e+03,2.415015e+05
50,1.973811e+03,1.808634e+05
51,1.973811e+03,1.616845e+05
52,1.973811e+03,2.131577e+05
53,1.973811e+03,2.030660e+05
54,1.973811e+03,2.102549e+05
55,1.973811e+03,1.710896e+05
56,1.973811e+03,1.889851e+05
57,1.973811e+03,1.596887e+05
58,1.973811e+03,1.350391e+05
59,1.973811e+03,1.108415e+05
60,1.973811e+03,1.375165e+05
61,1.973811e+03,1.371566e+05
62,1.973811e+03,1.124135e+05
63,1.973811e+03,1.129254e+05
64,1.973811e+03,8.598719e+04
65,1.973811e+03,8.753761e+04
66,1.973811e+03,7.545774e+04
67,1.973811e+03,6.114255e+04
68,1.973811e+03,4.998214e+04
69,1.973811e+03,3.301081e+04
70,1.973811e+03,2.479282e+04
71,1.973811e+03,2.961621e+04
72,1.973811e+03,2.836241e+04
73,1.973811e+03,2.251531e+04
74,1.973811e+03,2.231180e+04
75,1.973811e+03,1.608755e+04
76,1.973811e+03,1.452293e+04
77,1.973811e+03,1.490217e+04
78,1.973811e+03,1.136802e+04
79,1.973811e+03,1.269657e+04
80,1.973811e+03,1.176542e+04
81,1.973811e+03,1.064128e+04
82,1.973811e+03,1.011193e+04
83,1.973811e+03,7.897272e+03
84,1.973811e+03,7.987192e+03
85,1.973811e+03,8.370309e+03
86,1.973811e+03,7.813120e+03
87,1.973811e+03,8.015705e+03
88,1.973811e+03,7.807253e+03
89,1.973811e+03,7.871555e+03
90,1.973811e+03,8.564153e+03
91,1.973811e+03,9.085192e+03
92,1.973811e+03,9.793444e+03
93,1.973811e+03,1.050458e+04
94,1.973811e+03,1.132528e+04
95,1.973811e+03,1.185628e+04
96,1.973811e+03,1.165184e+04
97,1.973811e+03,1.168683e+04
98,1.973811e+03,1.552186e+04
99,1.973811e+03,1.634740e+04
100,1.973811e+03,2.040324e+04
101,1.973811e+03,2.654411e+04
102,1.973811e+03,3.104616e+04
103,1.973811e+03,3.360101e+04
104,1.973811e+03,3.966089e+04
105,1.973811e+03,4.799681e+04
106,1.973811e+03,5.675363e+04
107,1.973811e+03,6.973425e+04
108,1.973811e+03,8.732010e+04
109,1.973811e+03,9.696609e+04
110,1.973811e+03,1.190197e+05
111,1.973811e+03,1.332065e+05
112,1.973811e+03,1.608815e+05
113,1.973811e+03,1.907574e+05
114,1.973811e+03,2.113438e+05
115,1.973811e+03,2.356699e+05
116,1.973811e+03,2.473174e+05
117,1.973811e+03,2.195812e+05
118,1.973811e+03,2.513662e+05
119,1.973811e+03,3.091806e+05
120,1.973811e+03,3.455863e+05
121,1.973811e+03,3.625990e+05
122,1.973811e+03,3.805603e+05
123,1.973811e+03,4.135170e+05
124,1.973811e+03,4.041354e+05
125,1.973811e+03,4.323376e+05
126,1.973811e+03,4.793544e+05
127,1.973811e+03,4.957305e+05
128,1.973811e+03,4.996831e+05
129,1.973811e+03,4.257954e+05
130,1.973811e+03,4.030212e+05
131,1.973811e+03,4.647368e+05
132,1.973811e+03,4.801209e+05
133,1.973811e+03,4.017091e+05
134,1.973811e+03,4.606481e+05
135,1.973811e+03,5.677832e+05
136,1.973811e+03,5.672070e+05
137,1.973811e+03,5.723931e+05
138,1.973811e+03,5.888097e+05
139,1.973811e+03,5.740021e+05
140,1.973811e+03,5.753042e+05
141,1.973811e+03,6.085163e+05
142,1.973811e+03,5.874458e+05
143,1.973811e+03,5.985590e+05
144,1.973811e+03,5.701022e+05
145,1.973811e+03,4.802240e+05
146,1.973811e+03,6.023988e+05
147,1.973811e+03,5.996807e+05
148,1.973811e+03,5.643752e+05
149,1.973811e+03,5.278233e+05
150,1.973811e+03,5.588726e+05
151,1.973811e+03,6.111744e+05
152,1.973811e+03,5.870773e+05
153,1.973811e+03,5.019196e+05
154,1.973811e+03,5.824976e+05
155,1.973811e+03,4.375478e+05
156,1.973811e+03,5.479312e+05
157,1.973811e+03,5.234009e+05
158,1.973811e+03,6.242011e+05
159,1.973811e+03,6.318993e+05
160,1.973811e+03,5.794129e+05
161,1.973811e+03,6.057601e+05
162,1.973811e+03,6.328486e+05
163,1.973811e+03,6.249399e+05
164,1.973811e+03,5.163942e+05
165,1.973811e+03,4.699651e+05
166,1.973811e+03,6.183753e+05
167,1.973811e+03,5.774330e+05
168,1.973811e+03,5.768786e+05
169,1.973811e+03,6.332559e+05
170,1.973811e+03,5.852338e+05
171,1.973811e+03,4.931637e+05
172,1.973811e+03,4.497417e+05
173,1.973811e+03,4.475129e+05
174,1.973811e+03,3.500806e+05
175,1.973811e+03,4.609169e+05
176,1.973811e+03,4.635624e+05
177,1.973811e+03,6.051465e+05
178,1.973811e+03,6.110132e+05
179,1.973811e+03,5.763202e+05
180,1.973811e+03,5.424301e+05
181,1.973811e+03,5.804494e+05
182,1.973811e+03,6.465933e+05
183,1.973811e+03,6.493433e+05
184,1.973811e+03,6.486015e+05
185,1.973811e+03,6.039977e+05
186,1.973811e+03,4.718473e+05
187,1.973811e+03,5.568710e+05
188,1.973811e+03,5.613879e+05
189,1.973811e+03,3.869335e+05
190,1.973811e+03,3.763067e+05
191,1.973811e+03,5.075382e+05
192,1.973811e+03,5.923884e+05
193,1.973811e+03,6.108867e+05
194,1.973811e+03,5.057285e+05
195,1.973811e+03,6.264246e+05
196,1.973811e+03,6.527286e+05
197,1.973811e+03,6.560311e+05
198,1.973811e+03,6.504182e+05
199,1.973811e+03,6.648852e+05
200,1.973811e+03,6.190350e+05
201,1.973811e+03,6.428769e+05
202,1.973811e+03,6.307837e+05
203,1.973811e+03,5.530282e+05
204,1.973811e+03,4.955555e+05
205,1.973811e+03,4.653364e+05
206,1.973811e+03,4.812195e+05
207,1.973811e+03,5.595228e+05
208,1.973811e+03,6.311961e+05
209,1.973811e+03,6.399792e+05
210,1.973811e+03,6.083225e+05
211,1.973811e+03,6.542884e+05
212,1.973811e+03,6.512088e+05
213,1.973811e+03,6.320189e+05
214,1.973811e+03,6.610721e+05
215,1.973811e+03,6.080102e+05
216,1.973811e+03,5.949005e+05
217,1.973811e+03,5.438089e+05
218,1.973811e+03,4.956757e+05
219,1.973811e+03,4.894394e+05
220,1.973811e+03,5.700712e+05
221,1.973811e+03,6.339353e+05
222,1.973811e+03,5.498523e+05
223,1.973811e+03,6.013322e+05
224,1.973811e+03,6.025366e+05
225,1.973811e+03,5.189207e+05
226,1.973811e+03,6.127617e+05
227,1.973811e+03,4.712613e+05
228,1.973811e+03,5.906315e+05
229,1.973811e+03,6.074236e+05
230,1.973811e+03,5.881702e+05
231,1.973811e+03,6.351274e+05
232,1.973811e+03,5.491322e+05
233,1.973811e+03,5.995554e+05
234,1.973811e+03,4.755299e+05
235,1.973811e+03,4.773255e+05
236,1.973811e+03,5.898733e+05
237,1.973811e+03,5.503235e+05
238,1.973811e+03,5.544477e+05
239,1.973811e+03,4.783097e+05
240,1.973811e+03,6.068956e+05
241,1.973811e+03,5.646421e+05
242,1.973811e+03,5.440794e+05
243,1.973811e+03,5.793283e+05
244,1.973811e+03,5.720240e+05
245,1.973811e+03,5.670009e+05
246,1.973811e+03,4.637013e+05
247,1.973811e+03,5.303859e+05
248,1.973811e+03,5.510622e+05
249,1.973811e+03,5.386724e+05
