3x2b night
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,6.777652e+04,6.777654e+04
1,6.777652e+04,6.777655e+04
2,6.777652e+04,6.777655e+04
3,6.777652e+04,6.777656e+04
4,6.777652e+04,6.777655e+04
5,6.777652e+04,6.777656e+04
6,6.777652e+04,6.777656e+04
7,6.777652e+04,6.777656e+04
8,6.777652e+04,6.777656e+04
9,6.777652e+04,6.777656e+04
10,6.777652e+04,6.777657e+04
11,6.777652e+04,6.777656e+04
12,6.777652e+04,6.777657e+04
13,6.777652e+04,6.777657e+04
14,6.777652e+04,6.777657e+04
15,6.777652e+04,6.777657e+04
16,6.777652e+04,6.777662e+04
17,6.777652e+04,6.777698e+04
18,6.777652e+04,6.777788e+04
19,6.777652e+04,6.777955e+04
20,6.777652e+04,6.778215e+04
21,6.777652e+04,6.778486e+04
22,6.777652e+04,6.778598e+04
23,6.777652e+04,6.779856e+04
24,6.777652e+04,6.781358e+04
25,6.777652e+04,6.783190e+04
26,6.777652e+04,6.785474e+04
27,6.777652e+04,6.788051e+04
28,6.777652e+04,6.788944e+04
29,6.777652e+04,6.797913e+04
30,6.777652e+04,6.811310e+04
31,6.777652e+04,6.830115e+04
32,6.777652e+04,6.851881e+04
33,6.777652e+04,6.874283e+04
34,6.777652e+04,6.910412e+04
35,6.777652e+04,6.952520e+04
36,6.777652e+04,7.002624e+04
37,6.777652e+04,7.056896e+04
38,6.777652e+04,7.114439e+04
39,6.777652e+04,7.179013e+04
40,6.777652e+04,7.243746e+04
41,6.777652e+04,7.313992e+04
42,6.777652e+04,7.395413e+04
43,6.777652e+04,7.469558e+04
44,6.777652e+04,7.570000e+04
45,6.777652e+04,7.648555e+04
46,6.777652e+04,7.667305e+04
47,6.777652e+04,7.529029e+04
48,6.777652e+04,7.693465e+04
49,6.777652e+04,7.977271e+04
50,6.777652e+04,8.116458e+04
51,6.777652e+04,8.179576e+04
52,6.777652e+04,8.156878e+04
53,6.777652e+04,7.998008e+04
54,6.777652e+04,7.714641e+04
55,6.777652e+04,7.249687e+04
56,6.777652e+04,7.360366e+04
57,6.777652e+04,7.763070e+04
58,6.777652e+04,7.669223e+04
59,6.777652e+04,7.890243e+04
60,6.777652e+04,8.506732e+04
61,6.777652e+04,8.920152e+04
62,6.777652e+04,9.218826e+04
63,6.777652e+04,9.418767e+04
64,6.777652e+04,9.555359e+04
65,6.777652e+04,9.725068e+04
66,6.777652e+04,9.884289e+04
67,6.777652e+04,9.942920e+04
68,6.777652e+04,1.000362e+05
69,6.777652e+04,1.004813e+05
70,6.777652e+04,9.901776e+04
71,6.777652e+04,9.679930e+04
72,6.777652e+04,9.450692e+04
73,6.777652e+04,9.140949e+04
74,6.777652e+04,9.834500e+04
75,6.777652e+04,1.018198e+05
76,6.777652e+04,1.022623e+05
77,6.777652e+04,9.914332e+04
78,6.777652e+04,9.303618e+04
79,6.777652e+04,1.019587e+05
80,6.777652e+04,1.051577e+05
81,6.777652e+04,1.056787e+05
82,6.777652e+04,1.058983e+05
83,6.777652e+04,1.036304e+05
84,6.777652e+04,9.887362e+04
85,6.777652e+04,8.974303e+04
86,6.777652e+04,7.999420e+04
87,6.777652e+04,9.441709e+04
88,6.777652e+04,1.036754e+05
89,6.777652e+04,1.065193e+05
90,6.777652e+04,1.055110e+05
91,6.777652e+04,1.047992e+05
92,6.777652e+04,1.016320e+05
93,6.777652e+04,9.643069e+04
94,6.777652e+04,1.073057e+05
95,6.777652e+04,1.142161e+05
96,6.777652e+04,1.183223e+05
97,6.777652e+04,1.206514e+05
98,6.777652e+04,1.208921e+05
99,6.777652e+04,1.214942e+05
100,6.777652e+04,1.221833e+05
101,6.777652e+04,1.198349e+05
102,6.777652e+04,1.158298e+05
103,6.777652e+04,1.205320e+05
104,6.777652e+04,1.209029e+05
105,6.777652e+04,1.143243e+05
106,6.777652e+04,1.035545e+05
107,6.777652e+04,1.167093e+05
108,6.777652e+04,1.239964e+05
109,6.777652e+04,1.264346e+05
110,6.777652e+04,1.246753e+05
111,6.777652e+04,1.201455e+05
112,6.777652e+04,1.108417e+05
113,6.777652e+04,9.498980e+04
114,6.777652e+04,8.237938e+04
115,6.777652e+04,1.008440e+05
116,6.777652e+04,1.135239e+05
117,6.777652e+04,1.191644e+05
118,6.777652e+04,1.187588e+05
119,6.777652e+04,1.142710e+05
120,6.777652e+04,1.063842e+05
121,6.777652e+04,1.022858e+05
122,6.777652e+04,1.103247e+05
123,6.777652e+04,1.176688e+05
124,6.777652e+04,1.201694e+05
125,6.777652e+04,1.168159e+05
126,6.777652e+04,1.186016e+05
127,6.777652e+04,1.213978e+05
128,6.777652e+04,1.149053e+05
129,6.777652e+04,1.140848e+05
130,6.777652e+04,1.146290e+05
131,6.777652e+04,1.050956e+05
132,6.777652e+04,1.104117e+05
133,6.777652e+04,1.200215e+05
134,6.777652e+04,1.215776e+05
135,6.777652e+04,1.203553e+05
136,6.777652e+04,1.151493e+05
137,6.777652e+04,1.085014e+05
138,6.777652e+04,9.695879e+04
139,6.777652e+04,8.227112e+04
140,6.777652e+04,8.969700e+04
141,6.777652e+04,1.044429e+05
142,6.777652e+04,1.101756e+05
143,6.777652e+04,1.121892e+05
144,6.777652e+04,1.133744e+05
145,6.777652e+04,1.111217e+05
146,6.777652e+04,1.091955e+05
147,6.777652e+04,1.046658e+05
148,6.777652e+04,9.703958e+04
149,6.777652e+04,9.102943e+04
150,6.777652e+04,9.411074e+04
151,6.777652e+04,9.156785e+04
152,6.777652e+04,9.603374e+04
153,6.777652e+04,9.906764e+04
154,6.777652e+04,9.396095e+04
155,6.777652e+04,1.008238e+05
156,6.777652e+04,1.044005e+05
157,6.777652e+04,1.055669e+05
158,6.777652e+04,1.040460e+05
159,6.777652e+04,1.006595e+05
160,6.777652e+04,9.626541e+04
161,6.777652e+04,8.812454e+04
162,6.777652e+04,7.937982e+04
163,6.777652e+04,8.805778e+04
164,6.777652e+04,9.514684e+04
165,6.777652e+04,9.451313e+04
166,6.777652e+04,9.528393e+04
167,6.777652e+04,9.410978e+04
168,6.777652e+04,9.369707e+04
169,6.777652e+04,9.184414e+04
170,6.777652e+04,9.180017e+04
171,6.777652e+04,8.945462e+04
172,6.777652e+04,8.803580e+04
173,6.777652e+04,8.609723e+04
174,6.777652e+04,8.497034e+04
175,6.777652e+04,8.352425e+04
176,6.777652e+04,8.693578e+04
177,6.777652e+04,8.655266e+04
178,6.777652e+04,8.553374e+04
