2x2a night
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,6.777652e+04,6.878624e+04
1,6.777652e+04,7.109443e+04
2,6.777652e+04,7.562498e+04
3,6.777652e+04,7.809770e+04
4,6.777652e+04,7.887049e+04
5,6.777652e+04,8.023108e+04
6,6.777652e+04,8.094147e+04
7,6.777652e+04,7.877229e+04
8,6.777652e+04,7.606332e+04
9,6.777652e+04,7.344830e+04
10,6.777652e+04,7.465881e+04
11,6.777652e+04,7.330697e+04
12,6.777652e+04,7.160876e+04
13,6.777652e+04,7.152455e+04
14,6.777652e+04,7.407279e+04
15,6.777652e+04,7.483797e+04
16,6.777652e+04,7.263817e+04
17,6.777652e+04,8.022111e+04
18,6.777652e+04,8.780816e+04
19,6.777652e+04,9.415784e+04
20,6.777652e+04,1.009859e+05
21,6.777652e+04,1.014491e+05
22,6.777652e+04,9.780177e+04
23,6.777652e+04,9.019172e+04
24,6.777652e+04,8.122621e+04
25,6.777652e+04,8.085588e+04
26,6.777652e+04,7.693250e+04
27,6.777652e+04,7.138161e+04
28,6.777652e+04,7.439910e+04
29,6.777652e+04,7.774416e+04
30,6.777652e+04,8.169974e+04
31,6.777652e+04,8.513695e+04
32,6.777652e+04,9.118267e+04
33,6.777652e+04,8.723098e+04
34,6.777652e+04,7.958273e+04
35,6.777652e+04,7.852377e+04
36,6.777652e+04,8.023556e+04
37,6.777652e+04,7.966146e+04
38,6.777652e+04,7.534983e+04
39,6.777652e+04,7.801681e+04
40,6.777652e+04,8.673695e+04
41,6.777652e+04,9.597460e+04
42,6.777652e+04,9.509753e+04
43,6.777652e+04,9.812084e+04
44,6.777652e+04,9.381928e+04
45,6.777652e+04,9.591955e+04
46,6.777652e+04,9.797190e+04
47,6.777652e+04,9.088054e+04
48,6.777652e+04,9.937491e+04
49,6.777652e+04,1.060884e+05
50,6.777652e+04,1.040365e+05
51,6.777652e+04,9.626272e+04
52,6.777652e+04,9.261393e+04
53,6.777652e+04,8.320135e+04
54,6.777652e+04,7.958804e+04
55,6.777652e+04,8.726421e+04
56,6.777652e+04,9.070014e+04
57,6.777652e+04,1.061923e+05
58,6.777652e+04,1.146845e+05
59,6.777652e+04,1.167059e+05
60,6.777652e+04,1.125202e+05
61,6.777652e+04,1.028758e+05
62,6.777652e+04,1.010100e+05
63,6.777652e+04,1.004204e+05
64,6.777652e+04,9.560304e+04
65,6.777652e+04,8.499232e+04
66,6.777652e+04,7.662398e+04
67,6.777652e+04,7.591067e+04
68,6.777652e+04,7.314050e+04
69,6.777652e+04,7.582885e+04
70,6.777652e+04,7.980323e+04
71,6.777652e+04,8.503376e+04
72,6.777652e+04,9.275810e+04
73,6.777652e+04,9.675395e+04
74,6.777652e+04,1.029207e+05
75,6.777652e+04,1.073557e+05
76,6.777652e+04,1.016903e+05
77,6.777652e+04,8.918456e+04
78,6.777652e+04,8.864861e+04
79,6.777652e+04,9.097640e+04
80,6.777652e+04,8.312691e+04
81,6.777652e+04,7.342570e+04
82,6.777652e+04,7.049988e+04
83,6.777652e+04,7.857654e+04
84,6.777652e+04,9.197429e+04
85,6.777652e+04,9.923608e+04
86,6.777652e+04,1.044883e+05
87,6.777652e+04,1.101541e+05
88,6.777652e+04,1.119367e+05
89,6.777652e+04,1.199273e+05
90,6.777652e+04,1.228328e+05
91,6.777652e+04,1.128490e+05
92,6.777652e+04,1.058336e+05
93,6.777652e+04,1.051503e+05
94,6.777652e+04,1.027712e+05
95,6.777652e+04,8.771529e+04
96,6.777652e+04,7.429515e+04
97,6.777652e+04,8.499842e+04
98,6.777652e+04,1.011830e+05
99,6.777652e+04,1.109747e+05
100,6.777652e+04,1.236799e+05
101,6.777652e+04,1.339100e+05
102,6.777652e+04,1.376750e+05
103,6.777652e+04,1.313881e+05
104,6.777652e+04,1.202147e+05
105,6.777652e+04,1.198329e+05
106,6.777652e+04,1.103161e+05
107,6.777652e+04,9.777087e+04
108,6.777652e+04,8.467050e+04
109,6.777652e+04,7.240627e+04
110,6.777652e+04,7.162831e+04
111,6.777652e+04,8.390781e+04
112,6.777652e+04,9.419903e+04
113,6.777652e+04,9.448638e+04
114,6.777652e+04,9.266415e+04
115,6.777652e+04,9.415275e+04
116,6.777652e+04,9.598513e+04
117,6.777652e+04,1.125359e+05
118,6.777652e+04,1.144311e+05
119,6.777652e+04,1.049626e+05
120,6.777652e+04,8.856903e+04
121,6.777652e+04,9.201965e+04
122,6.777652e+04,8.220168e+04
123,6.777652e+04,7.184527e+04
124,6.777652e+04,7.590825e+04
125,6.777652e+04,8.469195e+04
126,6.777652e+04,8.421570e+04
127,6.777652e+04,9.875745e+04
128,6.777652e+04,1.110843e+05
129,6.777652e+04,1.156922e+05
130,6.777652e+04,1.181513e+05
